Site,lat,long,Bathymetry,Zone
173,-23.506113,152.078408,-1.022394,Lagoon 1
174,-23.506032,152.07811,-0.957177,Lagoon 1
175,-23.505514,152.077378,-1.062075,Lagoon 1
176,-23.506309,152.077405,-0.897136,Lagoon 1
177,-23.506592,152.077374,-0.918748,Lagoon 1
178,-23.505861,152.077558,-0.958234,Lagoon 1
179,-23.504755,152.077577,-2.672315,Lagoon 1
180,-23.503795,152.077946,-2.712024,Lagoon 1
181,-23.502955,152.080343,-2.896331,Lagoon 1
182,-23.50311,152.08292,-3.378224,Lagoon 1
183,-23.50292,152.0831,-2.757365,Lagoon 1
184,-23.50301,152.08282,-3.256029,Lagoon 1
185,-23.486845,152.06207,-9.2739,Reef slope
186,-23.486858,152.062262,-12.845,Reef slope
187,-23.486035,152.065261,-10.191836,Reef slope
188,-23.486943,152.066257,-1.509653,Reef slope
189,-23.486561,152.067432,-1.689819,Reef slope
190,-23.485102,152.069177,-7.280889,Reef slope
191,-23.485307,152.071243,-1.038188,Reef flat
192,-23.484308,152.075224,-0.949251,Reef flat
193,-23.482748,152.076845,-1.568554,Reef slope
194,-23.481967,152.077584,-4.962191,Reef slope
195,-23.482137,152.07943,-1.591979,Reef slope
196,-23.481647,152.082114,-1.709077,Reef slope
197,-23.482735,152.087747,-7.424567,Reef slope
198,-23.48496,152.088765,-2.05007,Reef slope
199,-23.487359,152.091187,-2.946218,Reef slope
200,-23.490471,152.093182,-2.770182,Reef slope
201,-23.493921,152.096306,-7.069343,Reef slope
202,-23.498028,152.096595,-2.263177,Reef slope
203,-23.50151,152.098414,-5.878664,Reef slope
204,-23.504853,152.098184,-2.871975,Reef slope
205,-23.508434,152.098235,-4.627619,Reef slope
206,-23.511525,152.096411,-3.162089,Reef slope
207,-23.512277,152.092967,-1.91012,Reef slope
208,-23.511952,152.090928,-1.347787,Reef slope
209,-23.511691,152.089375,-0.993193,Reef flat
210,-23.511042,152.086958,-0.705884,Reef flat
211,-23.511663,152.081459,-0.6769,Reef flat
212,-23.511781,152.077405,-3.815789,Reef slope
213,-23.511419,152.073912,-11.255196,Reef slope
214,-23.510391,152.07079,-15,Reef slope
215,-23.509639,152.064218,-15,Reef slope
216,-23.508899,152.060404,-8.630298,Reef slope
217,-23.50815,152.053681,-3.450372,Reef slope
218,-23.506774,152.052994,-0.699328,Reef flat
219,-23.505766,152.051814,-0.89089,Reef flat
220,-23.506546,152.044572,-2.054422,Reef slope
221,-23.505491,152.041495,-1.0992,Reef slope
222,-23.505613,152.040689,-5.015583,Reef slope
223,-23.504408,152.039064,-6.067435,Reef slope
224,-23.500101,152.041365,-6.385324,Reef slope
225,-23.499985,152.043138,-1.300892,Reef flat
226,-23.490018,152.053123,-1.300584,Reef slope
227,-23.489011,152.054981,-10.568333,Reef slope
228,-23.489506,152.057099,-1.245516,Reef slope
229,-23.488613,152.05868,-5.765232,Reef slope
230,-23.488203,152.060406,-10.834217,Reef slope
231,-23.488505,152.061541,-1.300158,Reef slope
232,-23.486774,152.063495,-9.321943,Reef slope
233,-23.486791,152.066558,-3.028439,Reef slope
234,-23.485074,152.068609,-8.924224,Reef slope
235,-23.485234,152.069895,-1.796236,Reef slope
236,-23.483894,152.071377,-11.444384,Reef slope
237,-23.493277,152.072938,-4.954331,Lagoon 1
238,-23.493484,152.072417,-3.77579,Lagoon 1
239,-23.494856,152.071862,-4.516268,Lagoon 1
240,-23.495601,152.071794,-1.800758,Lagoon 1
241,-23.496265,152.070143,-2.862261,Lagoon 1
242,-23.496924,152.069416,-2.945616,Lagoon 1
243,-23.497387,152.06908,-2.218563,Lagoon 1
244,-23.497299,152.069209,-2.343675,Lagoon 1
245,-23.497573,152.068267,-4.348065,Lagoon 1
246,-23.498132,152.067143,-4.381795,Lagoon 1
247,-23.497272,152.065771,-4.404887,Lagoon 1
248,-23.496758,152.065045,-3.9926,Lagoon 1
249,-23.495722,152.06453,-4.510286,Lagoon 1
250,-23.497232,152.064011,-4.051316,Lagoon 1
251,-23.498002,152.064091,-1.69877,Lagoon 1
252,-23.4964,152.063568,-2.900362,Lagoon 1
253,-23.495339,152.065008,-5.297188,Lagoon 1
254,-23.497844,152.066503,-3.982072,Lagoon 1
255,-23.498386,152.066788,-3.294465,Lagoon 1
256,-23.498606,152.066077,-2.976753,Lagoon 1
257,-23.498063,152.064463,-1.649488,Lagoon 1
258,-23.496775,152.071381,-2.823422,Lagoon 1
259,-23.496164,152.071394,-2.087149,Lagoon 1
260,-23.496808,152.072989,-2.22598,Lagoon 1
261,-23.498049,152.072387,-3.688013,Lagoon 1
262,-23.498372,152.072019,-2.867172,Lagoon 1
263,-23.500246,152.071706,-3.247675,Lagoon 1
264,-23.499281,152.074801,-2.963751,Lagoon 1
265,-23.500895,152.074771,-3.080308,Lagoon 1
266,-23.503024,152.073984,-3.469614,Lagoon 1
267,-23.504372,152.073726,-1.0317,Lagoon 1
268,-23.504424,152.073306,-0.824819,Lagoon 1
269,-23.504377,152.072914,-0.843256,Lagoon 1
270,-23.504263,152.072423,-0.879491,Lagoon 1
271,-23.504134,152.071741,-0.89141,Lagoon 1
272,-23.503578,152.071804,-0.959678,Lagoon 1
273,-23.503264,152.072375,-0.849257,Lagoon 1
274,-23.49504,152.084225,-3.959383,Lagoon 1
275,-23.495666,152.085845,-4.506487,Lagoon 1
276,-23.496951,152.085033,-3.111456,Lagoon 1
277,-23.497191,152.088159,-4.16963,Lagoon 1
