image name,HC,Complex,TopHeavy,Simple,Other,SoftCoral,Sand,CCA,Algae,Rubble,DeadCoral,Unknown
89_1.png,17.391020791485147,13.043591683405944,0,4.347429108079201,0,0,8.696162575326742,0,13.043591683405944,0,56.52179584170298,4.347429108079201
89_2.png,0,0,0,0,0,0,70.00070000700008,0,3.333033330333304,0,23.33323333233332,3.333033330333304
95_1.png,0,0,0,0,0,0,53.33353333533335,0,26.666266662666622,13.333133331333311,0,6.667066670666706
95_2.png,0,0,0,0,0,0,43.33343333433334,0,26.667266672666727,13.333133331333311,16.666166661666615,0
10_1.png,0,0,0,0,0,0,100,0,0,0,0,0
10_2.png,0,0,0,0,0,0,100,0,0,0,0,0
0_0.png,0,0,0,0,0,0,100,0,0,0,0,0
11_1.png,0,0,0,0,0,0,3.571084182443509,0,3.571084182443509,92.85783164,0,0
11_2.png,0,0,0,0,0,0,12.5,0,0,87.5,0,0
0_1.png,0,0,0,0,0,0,100,0,0,0,0,0
12_1.png,13.333,0,0,13.333,0,0,0,36.667,0,0,33.333,16.667
13_1.png,44.44444444444444,44.44444444444444,0,0,0,0,0,0,0,0,40.74111111111111,14.814444444444444
13_2.png,13.333,0,0,13.333,0,0,0,0,0,0,40,46.667
15_1.png,100,100,0,0,0,0,0,0,0,0,0,0
15_2.png,22.726776850488196,18.181694212622048,0,4.545082637866144,0,0,0,0,0,0,77.27322314951182,0
16_1.png,38.46144970345926,30.76985208,3.845798814,3.845798814,0,0,3.845798814,0,0,7.692751482703714,42.30724851729629,7.692751482703714
16_2.png,25.92555555555555,25.92555555555555,0,0,0,0,0,0,0,62.96333333333334,7.407777777777777,3.7033333333333336
18_2.png,100,100,0,0,0,0,0,0,0,0,0,0
18_N.A.png,92.30733728,92.30733728,0,0,0,0,0,0,0,7.692662720527997,0,0
19_1.png,3.333,3.333,0,0,0,0,96.667,0,0,0,0,0
19_2.png,100,100,0,0,0,0,0,0,0,0,0,0
19_3.png,100,100,0,0,0,0,0,0,0,0,0,0
20_1.png,0,0,0,0,0,0,31.03437574353192,0,24.137502974127678,6.896872769404243,20.68958382902128,17.241664683914884
20_2.png,0,0,0,0,0,0,53.33353333533336,0,23.33323333233332,0,23.33323333233332,0
21_1.png,26.922588759274003,0,0,26.922588759274003,0,0,0,0,3.8457544394060026,0,61.53899408,7.692662720527997
